# qid|name|dob|ig|x|tt|countries|srcs|urls|wiki|teams|occs|sports|group  (session 16 master, collapsed by QID)
Q87345654|Danielle Harbin|1995-09-02|dnllharbin|||United States||https://arkansasrazorbacks.com/roster/danielle-harbin/|||Q15117302=volleyball player|Q1734=volleyball|intl
Q92248923|Wilda Siti Nurfadilah Sugandi|1995-02-07|wildanurfadhilahh|||Indonesia|||https://en.wikipedia.org/wiki/Wilda_Nurfadhilah||Q15117302=volleyball player|Q1734=volleyball|intl
Q94013833|Anna Wruck|1993-02-24|thewruckingball|||United States||http://www.tomasikagency.com/profil/anna-wruck|||Q15117302=volleyball player|Q1734=volleyball|intl
Q97539268|Kana Yoshioka|1995-10-14|kana_yoshio|14__kana||Japan|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q98082815|Yurika Mizoguchi|1995-09-23|yurika_mizoguchi|AMNOS13JN||Japan|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q98456574|Mina Roosta|1993-03-21|mina_roosta|||Iran|||https://en.wikipedia.org/wiki/Mina_Roosta||Q15117302=volleyball player|Q1734=volleyball|intl
Q98704581|Panagiota Dioti|1992-11-13|dioti_giota|||Greece||http://www.worldofvolley.com/wov-community/players/17051.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q98758074|Risa Ohmuro|1995-11-04|o.lis23|||Japan|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q99387328|Alexia Căruțașu|2003-06-10|alexiaioanacarutasu|||Romania|||https://en.wikipedia.org/wiki/Alexia_C%C4%83ru%C8%9Ba%C8%99u||Q15117302=volleyball player|Q1734=volleyball|intl
Q99519745|Konstantina Passia|1993-10-30|konstantina_pass|||Greece||https://www.greekvolley.gr/index.php/component/k2/item/30684-pasia-konstantina.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q99519790|Eirini Kelesidou|1991-05-16|eirini_kelekele|||Greece||https://www.greekvolley.gr/index.php/news/item/5019-kelessidou-irini.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q99522833|Denyse Mutatsimpundu|1993-05-27|denysemutatsimpundu2|||Burundi||http://www.bvbinfo.com/player.asp?ID=12812|||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q100586013|Mahta Mohammadi|1990-04-13|mahtamohamadi8|||Iran|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q105389038|Maria Genitsaridi|1994-06-03|maria_genit|||Greece||https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=745336525&hideHistoryBackButton=true|||Q15117302=volleyball player|Q1734=volleyball|intl
Q105570759|Katsiaryna Sakolchyk|1993-07-27|katerina_sakolchyk|||Belarus||https://www.cev.eu/national-team/european-league/european-golden-league/women/team/12109-belarus/player/6101-sakolchyk-katsiaryna|||Q15117302=volleyball player|Q1734=volleyball|intl
Q105698617|Ester Ribera Boter|1979-08-26||riberaester||Spain||https://www.fivb.com/en/beachvolleyball/beachplayersdatabase/103388-ester-ribera-boter|||Q15982795=bodybuilder;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q105706739|Han Da-hye|1995-02-28|dahye6398|||South Korea|||https://en.wikipedia.org/wiki/Han_Da-hye||Q15117302=volleyball player|Q1734=volleyball|intl
Q106634121|Anna Church|1993-07-21|annamariechurchh|||United States|VBL database||||Q15117302=volleyball player|Q1734=volleyball|intl
Q106634779|Hannah Dücking|1994-04-26|hannah494|||Germany||https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=743033092&hideHistoryBackButton=true|||Q15117302=volleyball player|Q1734=volleyball|intl
Q106645112|Clara Fischer|1994-11-24|claraafischer|||Germany||https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=743114581&hideHistoryBackButton=true|||Q15117302=volleyball player|Q1734=volleyball|intl
Q106676035|Pinelopi Papastergiou|1995-03-26|pinelopi_papast|||Greece||https://greekvolley.eu/index.php/players/greekwomenplayers/item/23413-papastergiou-pinelopi.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q106766507|Emma Vente|2003-02-13|emmavente|||United States||https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=742805367&hideHistoryBackButton=true|||||intl
Q106766793|Jenny Wickler|1992-11-23|jenny_wickliiee|||Germany||https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=742449942&hideHistoryBackButton=true|||Q15117302=volleyball player|Q1734=volleyball|intl
Q107406911|Ana Cristina de Souza|2004-04-07|ana.cristina.desouza|||Brazil|Olympedia||https://en.wikipedia.org/wiki/Ana_Cristina_de_Souza||Q15117302=volleyball player|Q1734=volleyball|intl
Q107521419|Gaudencia Makokha|1992-11-15|gaudencia_makokha|||Kenya||https://women.volleybox.net/gaudencia-makokha-p8292/clubs|https://en.wikipedia.org/wiki/Gaudencia_Makokha||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q108064234|Inna Makhno|1994-10-15|innamakhno||||||https://en.wikipedia.org/wiki/Inna_Makhno||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q108064236|Iryna Makhno|1994-10-15|ira_makhno||||||https://en.wikipedia.org/wiki/Iryna_Makhno||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q108147302|Martyna Czyrniańska|2003-10-13|martynaczyrnianskaa|||Poland||https://www.eurosport.de/olympia/athleten/profil/czyrnianska-martyna-1928412/|https://en.wikipedia.org/wiki/Martyna_Czyrnia%C5%84ska||Q15117302=volleyball player|Q1734=volleyball|intl
Q108223322|Alexis Mathews|1991-01-23|longarmsdontcare|||United States|Volleybox||||Q15117302=volleyball player|Q1734=volleyball|intl
Q108326766|Blanca Nualart Barba|1961-02-12|blanxnualart|bnualart_blanx||Spain|Catalan Sport Encyclopedia||||Q15117302=volleyball player|Q1734=volleyball|intl
Q108695631|Amandine Giardino|1995-03-30|amandinegiardino|||France||http://www.worldofvolley.com/wov-community/players/17918.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q109485566|Горбунова, Валерия Сергеевна|2003-03-21|ya_leragorbunova_|||Russia|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q109491944|Deniz Barut|1983-03-29|dnzbarut|||Turkey|||https://en.wikipedia.org/wiki/Deniz_Barut||Q10798782=television actor;Q10800557=film actor;Q15117302=volleyball player;Q33231=photographer;Q947873=television presenter|Q1734=volleyball|intl
Q110260141|Monica Salkute|1993-05-02|msalkute|||Lithuania|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q110270297|Nadzeya Vladyka|1992-01-02|nadzeyachernovets|||Belarus||https://bvf.by/player/vladyko-nadezhda/;https://volleybox.net/wd-p7747|||Q15117302=volleyball player|Q1734=volleyball|intl
Q110270344|Anastasiya Kananovich|1993-01-05|nastia_konon1|||Belarus||https://www.cev.eu/national-team/european-league/european-golden-league/women/team/12109-belarus/player/6103-kananovich-anastasiya|||Q15117302=volleyball player|Q1734=volleyball|intl
Q110272655|Lizaveta Bahayeva|2003-09-03||izi7dsluwmz9len||Belarus||https://volleybox.net/wd-p17164|||Q15117302=volleyball player|Q1734=volleyball|intl
Q111575339|Kacie MacTavish|1988-10-09||KacieMacTavish||Canada|Volleybox|https://beach.volleybox.net/kacie-mactavish-p51466|||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q111577449|Caleigh Whitaker|1990-02-14|caleigh.whitaker|||Canada|Volleybox|https://women.volleybox.net/caleigh-whitaker-p47042/|||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q111695728|Aïta Gita Gaye|1994-10-07|aitagaye|||Senegal||http://www.todor66.com/volleyball/Africa/Women_2019.html|||Q15117302=volleyball player|Q1734=volleyball|intl
Q111904289|Aleksandra Wachowicz|1992-06-17|wachowicz_official||||||||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q112119297|Magdalena Jurczyk|1995-10-28|magda.jurczyk|||Poland|||https://en.wikipedia.org/wiki/Magdalena_Jurczyk||Q15117302=volleyball player|Q1734=volleyball|intl
Q112664015|Lena Zewe|1992-08-02|lenazewe|||Germany||https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=750863162&hideHistoryBackButton=true|||Q15117302=volleyball player|Q1734=volleyball|intl
Q112664138|Doreen Werth|1995-09-03|_doreenw_|||Germany||https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=750273303&hideHistoryBackButton=true|||Q15117302=volleyball player|Q1734=volleyball|intl
Q112988491|Ekaterina Antropova|2003-03-19|e.antropova17|||Italy;Russia||https://news.sportbox.ru/Vidy_sporta/Volejbol/spbnews_NI1926146_Pasport_za_osobyje_zaslugi_Rossija_poterala_supertalantlivuju_volejbolistku|https://en.wikipedia.org/wiki/Ekaterina_Antropova||Q15117302=volleyball player|Q1734=volleyball|intl
Q113620710|Diana Lunina|1992-10-28|luninadiana|||Ukraine|||https://en.wikipedia.org/wiki/Diana_Lunina||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q113996357|Brenda Graff|1994-07-20|brengraff|||Argentina||https://www.sport.de/volleyball/pe569414/brenda-graff/|||Q15117302=volleyball player|Q1734=volleyball|intl
Q114350368|Geena Urango|1989-08-02|urango||||||https://en.wikipedia.org/wiki/Geena_Urango||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q114631961|Yolla Yuliana|1994-05-16|yollayuliana1515|||Indonesia||https://sports.okezone.com/amp/2022/07/25/40/2636140/profil-dan-biodata-yolla-yuliana-atlet-timnas-bola-voli-putri-yang-dipuji-media-vietnam-karena-kecantikannya|https://en.wikipedia.org/wiki/Yolla_Yuliana||Q15117302=volleyball player|Q1734=volleyball|intl
Q115411039|Juliana Toro|1995-01-29|juli10toro|||Colombia||https://en.volleyballworld.com/volleyball/competitions/women-worldchampionship-2022/players/141509|||Q15117302=volleyball player|Q1734=volleyball|intl
Q120892706|Marta Ozoliņa|1994-12-27|citamarta|||Latvia|||||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q123906772|Fernanda Tomé|1987-08-17|tomezinha08|||Brazil|||||Q15117302=volleyball player|Q1734=volleyball|intl
Q124150989|Mahsa Arasteh|1989-01-28|mahsaa_arasteh|||Iran|||https://en.wikipedia.org/wiki/Mahsa_Arasteh||Q15117302=volleyball player;Q20730881=volleyball coach|Q1734=volleyball|intl
Q125005648|Vanessa Bonacossi|1986-01-19|pink_panthere_|||France|||||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q129156808|Abby Hornacek|1994-04-25|abbyhornacek|abbyhornacek|abbyhornacek_|United States||http://www.bvbinfo.com/player.asp?ID=13815|https://en.wikipedia.org/wiki/Abby_Hornacek|USC Trojans women's volleyball|Q17361156=beach volleyball player;Q1930187=journalist|Q4543=beach volleyball|beach
Q131481469|Lexi Rodriguez|2003-03-11|lexi.rodriguez__|||United States||https://norceca.net/2024%20Events/Final%20Six%202024/Women%20Final%20Six%202024/Bulletins%20WNORF624/BOLETIN-1-2024%20WOMENS%20FINAL%20SIX.pdf|https://en.wikipedia.org/wiki/Lexi_Rodriguez||Q15117302=volleyball player|Q1734=volleyball|intl
Q134486515|Marie Meynckens|2004-07-09|marie.meynckens|||Belgium||https://women.volleybox.net/de/marie-meynckens-p37499/clubs|||Q15117302=volleyball player|Q1734=volleyball|intl
Q134507911|正木七海|2003-07-02|nanami7139|||Japan|||||Q15117302=volleyball player||intl
Q134742426|Merritt Beason|2003-04-16|merbson|merbson|merbson|United States|FIVB database;Volleybox||https://en.wikipedia.org/wiki/Merritt_Beason|Florida Gators women's volleyball;Nebraska Cornhuskers beach volleyball;Nebraska Cornhuskers women's volleyball|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q134880482|Neslihan Turan|1980-07-29|neslihan_turan_lila|||Turkey|||https://en.wikipedia.org/wiki/Neslihan_Turan||Q15117302=volleyball player||intl
Q135234325|Liza Lutter|1992-02-12|lutterliza_ingatlan||lizalutter|Hungary||https://women.volleybox.net/hu/liza-lutter-p16466/clubs|||Q15117302=volleyball player|Q1734=volleyball|intl
Q135235038|Judit Kolada|1992-02-22|juditkolada|||Hungary||https://women.volleybox.net/hu/judit-kolada-p16390/clubs|||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q137995531|Harper Murray|2005-02-24|harpermurrayy|||United States|Volleybox|||Nebraska Cornhuskers women's volleyball|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q138009060|Nikola Kvapilová|1994-04-03|niki_kvapil|||Slovakia|Volleybox||||Q15117302=volleyball player|Q1734=volleyball|intl
Q138018834|Romana Redondo Krišková|1993-05-02|romanakriskova|||Slovakia|FIVB database;Volleybox;WorldofVolley|https://vcuathletics.com/sports/womens-volleyball/roster/romana-kriskova/3005||VCU Rams women's volleyball;Wisconsin Badgers women's volleyball|Q15117302=volleyball player;Q20730881=volleyball coach|Q1734=volleyball|ncaa
Q138393698|Kristína Harmanová|1994-06-30|kiki.liciousss|||Slovakia|Beach Volleyball Database;FIVB database;Volleybox||||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q139321082|Anny Caroliny Ramos|1992-06-27|annycaaroliny|||Brazil|FIVB database;Volleybox;WorldofVolley||||Q15117302=volleyball player|Q1734=volleyball|intl
